iter	Passed	Remaining
0	22	4397
1	42	4225
2	62	4108
3	83	4078
4	104	4058
5	124	4028
6	144	3984
7	164	3947
8	184	3925
9	206	3921
10	227	3911
11	247	3878
12	268	3856
13	288	3829
14	308	3805
15	329	3785
16	348	3751
17	370	3746
18	390	3724
19	411	3705
20	431	3677
21	451	3649
22	472	3635
23	492	3611
24	511	3577
25	530	3551
26	565	3621
27	584	3588
28	605	3571
29	627	3555
30	646	3523
31	666	3500
32	685	3470
33	706	3449
34	727	3429
35	750	3417
36	782	3448
37	813	3467
38	841	3473
39	863	3453
40	883	3425
41	901	3392
42	922	3367
43	941	3338
44	960	3308
45	981	3285
46	1000	3257
47	1021	3234
48	1043	3214
49	1063	3189
50	1089	3183
51	1113	3168
52	1133	3142
53	1167	3156
54	1198	3159
55	1217	3130
56	1237	3103
57	1256	3075
58	1276	3050
59	1295	3021
60	1316	2999
61	1347	2999
62	1370	2980
63	1390	2954
64	1409	2927
65	1428	2901
66	1447	2873
67	1468	2849
68	1489	2827
69	1509	2802
70	1529	2778
71	1549	2754
72	1569	2730
73	1592	2711
74	1613	2689
75	1633	2664
76	1652	2640
77	1672	2616
78	1694	2595
79	1719	2578
80	1740	2556
81	1765	2540
82	1787	2519
83	1808	2497
84	1835	2483
85	1856	2460
86	1874	2435
87	1895	2412
88	1916	2389
89	1939	2370
90	1960	2347
91	1983	2328
92	2004	2306
93	2031	2290
94	2067	2284
95	2097	2272
96	2121	2253
97	2142	2229
98	2155	2199
99	2176	2176
100	2195	2152
101	2215	2129
102	2233	2103
103	2252	2079
104	2272	2056
105	2293	2033
106	2314	2011
107	2333	1987
108	2354	1965
109	2375	1943
110	2394	1920
111	2413	1895
112	2428	1870
113	2441	1841
114	2458	1817
115	2476	1793
116	2495	1770
117	2516	1749
118	2536	1726
119	2555	1703
120	2583	1686
121	2605	1665
122	2624	1642
123	2643	1620
124	2664	1598
125	2685	1577
126	2706	1555
127	2735	1538
128	2766	1522
129	2789	1502
130	2808	1479
131	2829	1457
132	2848	1435
133	2867	1412
134	2888	1390
135	2907	1368
136	2927	1346
137	2947	1324
138	2967	1302
139	2986	1279
140	3005	1257
141	3026	1236
142	3048	1214
143	3068	1193
144	3088	1171
145	3108	1149
146	3129	1128
147	3149	1106
148	3168	1084
149	3187	1062
150	3203	1039
151	3224	1018
152	3243	996
153	3262	974
154	3281	952
155	3302	931
156	3320	909
157	3339	887
158	3361	866
159	3384	846
160	3405	824
161	3425	803
162	3446	782
163	3467	761
164	3486	739
165	3506	718
166	3525	696
167	3545	675
168	3568	654
169	3594	634
170	3617	613
171	3637	592
172	3658	570
173	3676	549
174	3696	528
175	3714	506
176	3733	485
177	3753	463
178	3772	442
179	3792	421
180	3811	400
181	3829	378
182	3846	357
183	3865	336
184	3884	314
185	3903	293
186	3921	272
187	3941	251
188	3958	230
189	3978	209
190	3995	188
191	4012	167
192	4028	146
193	4049	125
194	4069	104
195	4090	83
196	4114	62
197	4135	41
198	4153	20
199	4174	0
